"Name","Id","CPU","WorkingSet"
"Brave Browser Helper (GPU)","1165","2010.8756416","250413056"
"Brave Browser","1158","1713.984475","682426368"
"Microsoft Outlook","43609","508.8873791","445300736"
"Brave Browser Helper","1167","308.5991666","137445376"
"Electron","2214","285.5874","230850560"
"Brave Browser Helper (Renderer)","86266","204.8953916","659783680"
"Brave Browser Helper (Renderer)","1181","108.2462833","274776064"
"corespotlightd","736","105.2170875","179322880"
"Finder","603","94.7197875","124502016"
"Brave Browser Helper (Renderer)","40020","79.6427333","288915456"
"Code Helper (Renderer)","88039","63.6651208","286965760"
"loginwindow","389","55.9878083","139919360"
"Maccy","703","47.481275","110034944"
"Brave Browser Helper (Renderer)","89473","32.1270208","331923456"
"Brave Browser Helper (Renderer)","66441","25.3641625","242302976"
"Brave Browser Helper (Renderer)","86268","22.4712958","212156416"
"pwsh","88083","12.886134","206422016"
"Terminal","2122","12.616625","112066560"
"Brave Browser Helper (Renderer)","62381","10.6142541","218431488"
"Code Helper (Plugin)","88059","9.6471041","116342784"
"Brave Browser Helper (Renderer)","87727","6.4750958","390004736"
"Brave Browser Helper (Renderer)","89472","6.1349833","157908992"
"Brave Browser Helper (Renderer)","40050","4.3016","141443072"
"Brave Browser Helper (Renderer)","1183","3.9145708","145801216"
"Brave Browser Helper (Renderer)","86271","3.1061666","150978560"
"Brave Browser Helper (Renderer)","86270","2.7855583","139575296"
"Brave Browser Helper (Renderer)","87739","2.0890291","237092864"
"Brave Browser Helper (Renderer)","92565","1.696225","280707072"
"Brave Browser Helper (Renderer)","87738","0.9268875","175128576"
